TransactionID,Items,,,,
1,Laptop,Mouse,Keyboard,Monitor,USB Cable
2,Mouse,Keyboard,Monitor,USB Cable,Power Bank
3,Keyboard,Monitor,USB Cable,Power Bank,Headphones
4,Monitor,USB Cable,Power Bank,Headphones,Webcam
5,Power Bank,Headphones,Webcam,Smartwatch,Speaker
6,Laptop,Mouse,Keyboard,Monitor,USB Cable
7,Mouse,Keyboard,Monitor,USB Cable,Power Bank
8,Keyboard,Monitor,USB Cable,Power Bank,Headphones
9,Monitor,USB Cable,Power Bank,Headphones,Webcam
10,Power Bank,Headphones,Webcam,Smartwatch,Speaker
11,Laptop,Mouse,Keyboard,Monitor,USB Cable
12,Mouse,Keyboard,Monitor,USB Cable,Power Bank
13,Keyboard,Monitor,USB Cable,Power Bank,Headphones
14,Monitor,USB Cable,Power Bank,Headphones,Webcam
15,Power Bank,Headphones,Webcam,Smartwatch,Speaker
16,Laptop,Mouse,Keyboard,Monitor,USB Cable
17,Mouse,Keyboard,Monitor,USB Cable,Power Bank
18,Keyboard,Monitor,USB Cable,Power Bank,Headphones
19,Monitor,USB Cable,Power Bank,Headphones,Webcam
20,Power Bank,Headphones,Webcam,Smartwatch,Speaker
21,Laptop,Mouse,Keyboard,Monitor,USB Cable
22,Mouse,Keyboard,Monitor,USB Cable,Power Bank
23,Keyboard,Monitor,USB Cable,Power Bank,Headphones
24,Monitor,USB Cable,Power Bank,Headphones,Webcam
25,Power Bank,Headphones,Webcam,Smartwatch,Speaker
26,Laptop,Mouse,Keyboard,Monitor,USB Cable
27,Mouse,Keyboard,Monitor,USB Cable,Power Bank
28,Keyboard,Monitor,USB Cable,Power Bank,Headphones
29,Monitor,USB Cable,Power Bank,Headphones,Webcam
30,Power Bank,Headphones,Webcam,Smartwatch,Speaker
