TransactionID,Items,,,,
1,Soap,Toothpaste,Shampoo,Conditioner,Towel
2,Toothpaste,Shampoo,Conditioner,Towel,Toilet Paper
3,Shampoo,Conditioner,Towel,Toilet Paper,Laundry Detergent
4,Conditioner,Towel,Toilet Paper,Laundry Detergent,Deodorant
5,Toilet Paper,Laundry Detergent,Deodorant,Hand Wash,Dish Soap
6,Soap,Toothpaste,Shampoo,Conditioner,Towel
7,Toothpaste,Shampoo,Conditioner,Towel,Toilet Paper
8,Shampoo,Conditioner,Towel,Toilet Paper,Laundry Detergent
9,Conditioner,Towel,Toilet Paper,Laundry Detergent,Deodorant
10,Toilet Paper,Laundry Detergent,Deodorant,Hand Wash,Dish Soap
11,Soap,Toothpaste,Shampoo,Conditioner,Towel
12,Toothpaste,Shampoo,Conditioner,Towel,Toilet Paper
13,Shampoo,Conditioner,Towel,Toilet Paper,Laundry Detergent
14,Conditioner,Towel,Toilet Paper,Laundry Detergent,Deodorant
15,Toilet Paper,Laundry Detergent,Deodorant,Hand Wash,Dish Soap
16,Soap,Toothpaste,Shampoo,Conditioner,Towel
17,Toothpaste,Shampoo,Conditioner,Towel,Toilet Paper
18,Shampoo,Conditioner,Towel,Toilet Paper,Laundry Detergent
19,Conditioner,Towel,Toilet Paper,Laundry Detergent,Deodorant
20,Toilet Paper,Laundry Detergent,Deodorant,Hand Wash,Dish Soap
21,Soap,Toothpaste,Shampoo,Conditioner,Towel
22,Toothpaste,Shampoo,Conditioner,Towel,Toilet Paper
23,Shampoo,Conditioner,Towel,Toilet Paper,Laundry Detergent
24,Conditioner,Towel,Toilet Paper,Laundry Detergent,Deodorant
25,Toilet Paper,Laundry Detergent,Deodorant,Hand Wash,Dish Soap
26,Soap,Toothpaste,Shampoo,Conditioner,Towel
27,Toothpaste,Shampoo,Conditioner,Towel,Toilet Paper
28,Shampoo,Conditioner,Towel,Toilet Paper,Laundry Detergent
29,Conditioner,Towel,Toilet Paper,Laundry Detergent,Deodorant
30,Toilet Paper,Laundry Detergent,Deodorant,Hand Wash,Dish Soap
