TransactionID,Items,,,,
1,Milk,Bread,Eggs,Butter,Cheese
2,Bread,Eggs,Butter,Cheese,Cereal
3,Eggs,Butter,Cheese,Cereal,Rice
4,Butter,Cheese,Cereal,Rice,Chicken
5,Cereal,Rice,Chicken,Apples,Juice
6,Milk,Bread,Eggs,Butter,Cheese
7,Bread,Eggs,Butter,Cheese,Cereal
8,Eggs,Butter,Cheese,Cereal,Rice
9,Butter,Cheese,Cereal,Rice,Chicken
10,Cereal,Rice,Chicken,Apples,Juice
11,Milk,Bread,Eggs,Butter,Cheese
12,Bread,Eggs,Butter,Cheese,Cereal
13,Eggs,Butter,Cheese,Cereal,Rice
14,Butter,Cheese,Cereal,Rice,Chicken
15,Cereal,Rice,Chicken,Apples,Juice
16,Milk,Bread,Eggs,Butter,Cheese
17,Bread,Eggs,Butter,Cheese,Cereal
18,Eggs,Butter,Cheese,Cereal,Rice
19,Butter,Cheese,Cereal,Rice,Chicken
20,Cereal,Rice,Chicken,Apples,Juice
21,Milk,Bread,Eggs,Butter,Cheese
22,Bread,Eggs,Butter,Cheese,Cereal
23,Eggs,Butter,Cheese,Cereal,Rice
24,Butter,Cheese,Cereal,Rice,Chicken
25,Cereal,Rice,Chicken,Apples,Juice
26,Milk,Bread,Eggs,Butter,Cheese
27,Bread,Eggs,Butter,Cheese,Cereal
28,Eggs,Butter,Cheese,Cereal,Rice
29,Butter,Cheese,Cereal,Rice,Chicken
30,Cereal,Rice,Chicken,Apples,Juice
